Date,Ticker,Open,High,Low,Close,Volume,SMA_10,SMA_50,EMA_20,Return_1,Volatility_10,Momentum_10,RSI_14,MACD,MACD_Signal,MACD_Histogram,BB_Middle,BB_Upper,BB_Lower,BB_Width,BB_Position,sentiment_score,sentiment_std,news_count,date,social_sentiment_avg,social_sentiment_std,social_post_count,social_engagement_total,social_engagement_avg
2022-01-03,AAPL,92.05,95.48,92.05,94.63,3330270,94.63,94.63,94.63,-0.0103561238507872,0.0062658117298775,-0.00570643559125,0.0,0.0,0.0,0.0,94.63,95.52592929112562,92.75407070887438,2.771858582251241,0.3232233047033633,0.0,0.0,0,2022-01-03,0.19,0.0,1.0,44.0,44.0
2022-01-04,AAPL,94.15,94.15,93.52,93.65,2892792,94.14,94.14,94.53666666666666,-0.0103561238507872,0.0062658117298775,-0.00570643559125,0.0,-0.0781766381766289,-0.0156353276353257,-0.0625413105413031,94.14,95.52592929112562,92.75407070887438,2.771858582251241,0.3232233047033633,0.0,0.0,0,2022-01-04,0.0,0.0,0.0,0.0,0.0
2022-01-05,AAPL,93.36,94.16,90.59,93.51,4983737,93.93,93.93,94.43888888888888,-0.001494927923118,0.0062658117298775,-0.00570643559125,0.0,-0.149703330330098,-0.0424489281742802,-0.1072544021558178,93.93,95.15049170419138,92.70950829580865,2.440983408382749,0.327938199597076,0.0,0.0,0,2022-01-05,0.3105,0.1407,2.0,199.0,99.5
2022-01-06,AAPL,92.86,92.86,89.18,89.89,2562633,92.92,92.92,94.00566137566138,-0.0387124371724949,0.0194411260527558,-0.00570643559125,0.0,-0.4928116694209308,-0.1325214764236103,-0.3602901929973204,92.92,97.08108960089382,88.75891039910618,8.322179201787634,0.1359126706441089,0.0,0.0,0,2022-01-06,0.0217,0.5268,3.0,37.0,12.3333
2022-01-07,AAPL,89.84,91.7,89.84,91.19,2266362,92.574,92.574,93.73750314940791,0.0144621203693402,0.0222969551346937,-0.00570643559125,21.52317866540939,-0.6523089531026898,-0.2364789717594262,-0.4158299813432635,92.574,96.4957751082896,88.65222489171039,7.843550216579217,0.3235492905910661,0.0,0.0,0,2022-01-07,0.078,0.0354,2.0,93.0,46.5
2022-01-10,AAPL,90.63,90.63,89.36,89.88,5372188,92.125,92.125,93.37012189708337,-0.0143656102642834,0.0194568586603193,-0.00570643559125,17.687074709611707,-0.874338916635665,-0.364050960734674,-0.510287955900991,92.125,96.26537196396652,87.98462803603347,8.28074392793306,0.2288890926300658,0.0,0.0,0,2022-01-10,0.0,0.0,0.0,0.0,0.0
2022-01-11,AAPL,89.96,91.4,89.96,90.88,1742908,91.94714285714284,91.94714285714284,93.13296743069446,0.0111259457053849,0.0194396215988044,-0.00570643559125,27.544909981713204,-0.958557960239716,-0.4829523606356825,-0.4756055996040336,91.94714285714284,95.84217754737288,88.05210816691283,7.790069380460039,0.363012406562182,0.0,0.0,0,2022-01-11,0.0,0.0,0.0,0.0,0.0
2022-01-12,AAPL,91.65,91.74,91.61,91.71,3082187,91.9175,91.9175,92.99744672300928,0.0091329225352112,0.0187104966413318,-0.00570643559125,34.09586030645855,-0.9474069777615312,-0.5758432840608523,-0.371563693700679,91.9175,95.52749802136869,88.30750197863134,7.219996042737336,0.4712603720595198,0.0,0.0,0,2022-01-12,0.2635,0.6017,2.0,65.0,32.5
2022-01-13,AAPL,91.94,92.45,87.86,91.43,6236635,91.86333333333332,91.86333333333332,92.84816608272268,-0.0030531021698831,0.0173283023104917,-0.00570643559125,33.0866804812966,-0.950209974648871,-0.650716622178456,-0.299493352470415,91.86333333333332,95.25578082740012,88.47088583926654,6.784894988133573,0.4361326396221017,0.0,0.0,0,2022-01-13,0.092,0.0,1.0,1.0,1.0
2022-01-14,AAPL,91.88,96.22,91.88,95.27,1643686,92.204,92.204,93.0788169319872,0.0419993437602537,0.0223484897586626,-0.00570643559125,52.40601468296682,-0.6352526648067709,-0.6476238307041191,0.0123711658973482,92.204,96.0604370430057,88.34756295699428,7.712874086011425,0.8975171856572508,0.0,0.0,0,2022-01-14,0.593,0.0,1.0,36.0,36.0
